E,E_norm,mean_error_cm,median_error_cm,p90_error_cm,success_frac_1cm,success_frac_2cm
5051292.673465641,0.007362269751006134,1.1551480419153015,0.885533700351087,1.6603377910856851,0.6299355922710725,0.9358723046765612
5159932.672013331,0.02271207313385988,1.4579157704238987,0.9518184520455827,2.7728162422587292,0.5407448893867264,0.8615233828059368
5218241.682500613,0.03081783456793875,1.167381268926284,0.9025801864282201,1.5349048013953448,0.5859703164379726,0.9633155978717446
5313032.826322861,0.04380376578722949,1.0984597711065505,0.8715348184843322,1.7190546113535328,0.6125735088210585,0.9320918510221227
5420904.451365519,0.05830274168906549,1.362023063751685,0.8780262952351089,1.8182427679155926,0.6052926351162139,0.9144497339680762
5462504.666570696,0.0638172561041749,1.1789539000415887,0.7486606400012903,1.4925346707654636,0.7227667320078409,0.9633155978717446
5645995.322309724,0.0876499193161014,0.9113077795133802,0.7532476064237335,1.3310034599344167,0.7483898067768132,0.9819378325399047
5664795.268210705,0.09004786077564178,1.2141261247480841,0.9519000208380007,1.719098999798181,0.5457854942593111,0.9354522542705125
5697317.435757607,0.09417734788764888,1.2276395211501776,0.9610345844943463,1.708285299351623,0.5359843181181742,0.9411929431531784
5860355.736042314,0.11453007353597351,1.0894282516071507,0.7379124045728633,1.2825346135955573,0.7453094371324559,0.9801176141136937
5888662.129261162,0.11800590212051484,1.2567259686394237,0.788066517587193,2.076923628437503,0.6888826659199104,0.8923270792495099
5971756.582167181,0.1281136326755465,1.1757645363721645,0.7189921395283196,1.4300416113928667,0.7423690842901148,0.9537944553346401
5986742.030072414,0.1299215053354711,1.0985379633432544,0.8163507467127108,1.4879338634390513,0.6447773732847942,0.9582749929991599
6068891.642373821,0.13975248360931025,1.0430894339704087,0.806792208654635,1.2887067523203644,0.6982637916549986,0.9813777653318398
6069266.166603128,0.13979699812765722,0.9393348658661278,0.7704955150725094,1.526747227420788,0.6541584990198824,0.9592551106132736
6175484.380079021,0.15231210271316808,0.8984694856490795,0.7173568991015742,1.2872825593251596,0.78129375525063,0.9749369924390927
6192436.111601231,0.154289492067548,1.0029524412532604,0.7667914455810526,1.307536715548875,0.7030243629235509,0.9798375805096612
6252666.859858553,0.16127177903360176,0.9940083208696036,0.7147255641425685,1.3968127675615334,0.7250070008401008,0.9509941192943153
6302280.359697691,0.16697291990770427,1.0366732505064398,0.7374429331373561,1.368010412000446,0.7276673200784094,0.973396807616914
6501942.569678379,0.1894713590842863,0.9109451396830803,0.7702346842983371,1.3886681940798389,0.6814617754130495,0.9788574628955474
6548686.240663049,0.19463870785196713,0.8821713442121064,0.684015608511324,1.2006249229290804,0.7943153178381406,0.9833380005600673
6596700.015015799,0.1999082024751086,1.1431303042367609,0.7236298861671611,1.3025428053919674,0.7448893867264071,0.974516942033044
